vcf_index,vcf_id,sampleID,country,inst,species,species_full,lat,long,F_MISS,genetic_spp,galapagos
1,CEAG_18406,18406,Ecuador,USFQ,CEAG,Cedrela angusticarpa,-0.0214,-78.8861,0.0121066,Cedrela angusticarpa,no
2,CEAG_18407,18407,Ecuador,USFQ,CEAG,Cedrela angusticarpa,-0.0434,-78.9603,0.0797235,Cedrela angusticarpa,no
3,CEAG_18411,18411,Ecuador,USFQ,CEAG,Cedrela angusticarpa,-0.179,-79.0306,0.012493,Cedrela angusticarpa,no
4,CEAG_18445,18445,Ecuador,USFQ,CEAG,Cedrela angusticarpa,0.02583,-78.85944,0.00957369,Cedrela angusticarpa,no
5,CEAN_18375,18375,Ecuador,USFQ,CEAN,Cedrela angustifolia,-2.2631,-78.1923,0.00789937,Cedrela angustifolia,no
6,CEAN_18387,18387,Ecuador,USFQ,CEAN,Cedrela angustifolia,-0.2022,-78.4306,0.0147684,Cedrela angustifolia,no
7,CEAN_18439,18439,Ecuador,USFQ,CEAN,Cedrela angustifolia,-4.34917,-79.75389,0.0182888,Cedrela angustifolia,no
8,CEAN_18451,18451,Ecuador,USFQ,CEAN,Cedrela angustifolia,-0.185,-78.4869,0.0036921,Cedrela angustifolia,no
9,CEAN_18481,18481,Ecuador,USFQ,CEAN,Cedrela angustifolia,-3.315588,-78.564959,0.00635384,Cedrela angustifolia,no
10,CEAN_208,CEAN_208,Ecuador,MO,CEAN,Cedrela angustifolia,-3.83027,-79.42027,0.0376937,Cedrela montana,no
11,CEAN_58,CEAN_58,Peru,MO,CEAN,Cedrela angustifolia,-9.13333,-77.75,0.000515176,Cedrela montana,no
12,CEAN_64,CEAN_64,Peru,MO,CEAN,Cedrela angustifolia,-5.68138,-79.26694,0.000558108,Cedrela angustifolia,no
13,CEDO_18329,18329,Ecuador,USFQ,CEDO,Cedrela domatifolia,-0.03889,-77.444996,0,Cedrela domatifolia,no
14,CEDO_18330,18330,Ecuador,USFQ,CEDO,Cedrela domatifolia,-0.0385,-77.4454,0.00304813,Cedrela domatifolia,no
15,CEDO_18379,18379,Ecuador,USFQ,CEDO,Cedrela domatifolia,-2.0438,-77.9054,0.00321985,Cedrela domatifolia,no
16,CEDO_18448,18448,Ecuador,USFQ,CEDO,Cedrela domatifolia,-0.03815,-77.44522,0.0186751,Cedrela domatifolia,no
17,CEDO_18449,18449,Ecuador,USFQ,CEDO,Cedrela domatifolia,-1.4143465,-77.72346,0.00747006,Cedrela domatifolia,no
18,CEFA_18332,18332,Ecuador,USFQ,CEFA,Cedrela falcata,0.0738,-77.2396,0.00300519,Cedrela falcata,no
19,CEFA_18351,18351,Ecuador,USFQ,CEFA,Cedrela falcata,-0.81336,-76.8902,0.0015026,Cedrela falcata,no
20,CEFA_18352,18352,Ecuador,USFQ,CEFA,Cedrela falcata,-0.83699,-76.8978,0.00124501,Cedrela falcata,no
21,CEFA_18358,18358,Ecuador,USFQ,CEFA,Cedrela falcata,-0.70678,-77.0801,0.000386382,Cedrela falcata,no
22,CEFI_112,CEFI_112,Ecuador,MO,CEFI,Cedrela fissilis,-0.03333,-76.7,0.00274761,Cedrela odorata sl,no
23,CEFI_35,CEFI_35,Peru,MO,CEFI,Cedrela fissilis,-4.15,-80.61666,0.00227536,Cedrela fissilis,no
24,CEFI_61,CEFI_61,Peru,MO,CEFI,Cedrela fissilis,-2.91667,-76.25,8.59E-05,Cedrela odorata sl,no
25,CEKU_18288,18288,Ecuador,USFQ,CEKU,Cedrela kuelapensis,-4.359,-79.8294,0.00128794,Cedrela kuelapensis,no
26,CEMA_18480,18480,Ecuador,USFQ,CEMA,Cedrela magnifolia,-3.31529,-78.5651,0.000257588,Cedrela magnifolia,no
27,CEMI_18423,18423,Ecuador,USFQ,CEMI,Cedrela minima,0.21922,-79.88104,0.00180312,Cedrela minima,no
28,CEMI_18424,18424,Ecuador,USFQ,CEMI,Cedrela minima,0.24578,-79.86882,0.00120208,Cedrela minima,no
29,CEMI_18426,18426,Ecuador,USFQ,CEMI,Cedrela minima,0.64255,-79.96195,0.00111622,Cedrela minima,no
30,CEMI_18429,18429,Ecuador,USFQ,CEMI,Cedrela minima,0.38845,-79.64418,0.00201777,Cedrela minima,no
31,CEMI_18453,18453,Ecuador,USFQ,CEMI,Cedrela minima,0.23878,-78.81811,0.0219379,Cedrela minima,no
32,CEMO_108,CEMO_108,Ecuador,MO,CEMO,Cedrela montana,-0.21666,-78.8,0.00180312,Cedrela montana,no
33,CEMO_109,CEMO_109,Ecuador,MO,CEMO,Cedrela montana,-0.45,-77.91667,0.000128794,Cedrela montana,no
34,CEMO_133,CEMO_133,Ecuador,MO,CEMO,Cedrela montana,0.08333,-78.5,0.00163139,Cedrela montana,no
35,CEMO_18317,18317,Ecuador,USFQ,CEMO,Cedrela montana,-0.3996,-78.0477,0.00197484,Cedrela montana,no
36,CEMO_18319,18319,Ecuador,USFQ,CEMO,Cedrela montana,-0.4516,-77.9432,0.0100889,Cedrela montana,no
37,CEMO_18324,18324,Ecuador,USFQ,CEMO,Cedrela montana,-0.46705,-77.9143,0.0736273,Cedrela montana,no
38,CEMO_18383,18383,Ecuador,USFQ,CEMO,Cedrela montana,-1.2272,-78.6209,0.00523763,Cedrela montana,no
39,CEMO_215,CEMO_215,Ecuador,MO,CEMO,Cedrela montana,0.21666,-78.25,0.00064397,Cedrela montana,no
40,CEMO_225,CEMO_225,Ecuador,MO,CEMO,Cedrela montana,-0.25,-78.5,0.0015026,Cedrela montana,no
41,CEMO_232,CEMO_232,Ecuador,MO,CEMO,Cedrela montana,-0.33333,-78.5,0.0892114,Cedrela montana,no
42,CEMO_239,CEMO_239,Ecuador,MO,CEMO,Cedrela montana,-3.60916,-79.69666,0.00270468,Cedrela montana,no
43,CEMO_248,CEMO_248,Ecuador,MO,CEMO,Cedrela montana,-0.23138,-78.80277,0.00133087,Cedrela montana,no
44,CEMO_27,CEMO_27,Ecuador,MO,CEMO,Cedrela montana,-4.385,-79.12555,0.000128794,Cedrela montana,no
45,CEMO_304,CEMO_304,Colombia,MO,CEMO,Cedrela montana,4.31667,-74.3,0.00120208,Cedrela montana,no
46,CEMO_50,CEMO_50,Colombia,MO,CEMO,Cedrela montana,4.01805,-75.88027,0.000214657,Cedrela montana,no
47,CEMO_55,CEMO_55,Ecuador,MO,CEMO,Cedrela montana,0.33333,-78.43333,0.000257588,Cedrela montana,no
48,CEMO_62,CEMO_62,Ecuador,MO,CEMO,Cedrela montana,-1.5,-78.45,0.0570128,Cedrela montana,no
49,CEMO_68,CEMO_68,Ecuador,MO,CEMO,Cedrela montana,-0.38333,-78.01667,0.000558108,Cedrela montana,no
50,CEMO_77,CEMO_77,Ecuador,MO,CEMO,Cedrela montana,-0.6,-78.45,0.000987421,Cedrela montana,no
51,CENE_129,CENE_129,Ecuador,MO,CENE,Cedrela nebulosa,-0.66666,-77.66666,0.000214657,Cedrela nebulosa,no
52,CENE_18296,18296,Ecuador,USFQ,CENE,Cedrela nebulosa,-0.67108,-77.79249,0.000171725,Cedrela nebulosa,no
53,CENE_18326,18326,Ecuador,USFQ,CENE,Cedrela nebulosa,-0.4501,-77.8754,0,Cedrela nebulosa,no
54,CENE_18334,18334,Ecuador,USFQ,CENE,Cedrela nebulosa,0.3132,-77.464,8.59E-05,Cedrela nebulosa,no
55,CENE_18343,18343,Ecuador,USFQ,CENE,Cedrela nebulosa,-0.72889,-77.4956,0,Cedrela nebulosa,no
56,CENE_18366,18366,Ecuador,USFQ,CENE,Cedrela nebulosa,-1.3665,-77.9527,0.00141673,Cedrela nebulosa,no
57,CENE_18372,18372,Ecuador,USFQ,CENE,Cedrela nebulosa,-1.7521,-77.8455,0.00064397,Cedrela nebulosa,no
58,CENE_18474,18474,Ecuador,USFQ,CENE,Cedrela nebulosa,-4.39802,-78.93543,0.00120208,Cedrela nebulosa,no
59,CENE_18476,18476,Ecuador,USFQ,CENE,Cedrela nebulosa,-3.81378,-78.76078,0.000515176,Cedrela nebulosa,no
60,CENE_18479,18479,Ecuador,USFQ,CENE,Cedrela nebulosa,-3.33533,-78.56057,0.00244709,Cedrela nebulosa,no
61,CENE_199,CENE_199,Ecuador,MO,CENE,Cedrela nebulosa,-0.36666,-78.86666,0.000171725,Cedrela nebulosa,no
